0,9% Sodium Chloride-BRAUN;Natrii chloridum;9 mg/ml;roztwór do infuzji;08754;Bezterminowe;B. Braun Melsungen AG;NAR;B05CB01
Ruta graveolens;Preparat homeopatyczny;"2CH - 200CH; 6K - CMK";"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";19101;Bezterminowe;Boiron SA;NAR;
Rutinosal C;Salicis cortex + Rutinum + Acidum ascorbicum;300 mg + 20 mg + 40 mg;tabletki;10527;Bezterminowe;Laboratorium Farmaceutyczne Labofarm Sp. z o.o. spółka komandytowa;NAR;
Rutinoscorbin;Rutosidum trihydricum + Acidum ascorbicum;25 mg + 100 mg;tabletki powlekane;01497;Bezterminowe;GlaxoSmithKline Consumer Healthcare Sp. z o.o.;NAR;C05CA51
Rutinoscorbin Plus;Preparat złożony;-;tabletki powlekane;09945;Bezterminowe;GlaxoSmithKline Consumer Healthcare Sp. z o.o.;NAR;A11GB
Rutinoscorbin Witamina C Forte;Acidum ascorbicum;500 mg;kapsułki o przedłużonym uwalnianiu, twarde;04508;Bezterminowe;GlaxoSmithKline Consumer Healthcare Sp. z o.o.;NAR;A11GA01
Rutoven;Troxerutinum;20 mg/g;żel;00742;Bezterminowe;"Poznańskie Zakłady Zielarskie ""Herbapol"" S.A.";NAR;C05CA04
Rydapt;Midostaurinum;25 mg;kapsułki miękkie;;;Novartis Europharm Limited;CEN;L01XE39
Ryspolit;Risperidonum;1 mg/ml;roztwór doustny;15772;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;MRP;N05AX08
Ryspolit;Risperidonum;1 mg;tabletki powlekane;12029;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;MRP;N05AX08
Ryspolit;Risperidonum;2 mg;tabletki powlekane;12028;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;MRP;N05AX08
Ryspolit;Risperidonum;3 mg;tabletki powlekane;12027;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;MRP;N05AX08
Ryspolit;Risperidonum;4 mg;tabletki powlekane;12026;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;MRP;N05AX08
Rytmonorm;Propafenoni hydrochloridum;3,5 mg/ml;roztwór do wstrzykiwań;01251;Bezterminowe;Mylan Healthcare Sp. z o.o.;NAR;C01BC03
Rytmonorm 150;Propafenoni hydrochloridum;150 mg;tabletki powlekane;01008;Bezterminowe;Mylan Healthcare Sp. z o.o.;NAR;C01BC03
Rytmonorm 300;Propafenoni hydrochloridum;300 mg;tabletki powlekane;01009;Bezterminowe;Mylan Healthcare Sp. z o.o.;NAR;C01BC03
Rywanol 0,1%;Ethacridini lactas;0,1%;płyn na skórę;IL-5307/ChF;Bezterminowe;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;D08AA01
Rywastigmina Apotex;Rivastigminum;4,6 mg/24 h;system transdermalny, plaster;21236;2018-05-28;Apotex Europe B.V.;DCP;N06DA03
Rywastigmina Apotex;Rivastigminum;9,5 mg/24 h;system transdermalny, plaster;21237;2018-05-28;Apotex Europe B.V.;DCP;N06DA03
Ryzodeg;Insulinum degludecum + Insulinum aspartum;100 j./ml;roztwór do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AD06
Sabadilla Officinarum;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19272;Bezterminowe;Boiron SA;NAR;
Sabal Serrulata;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19320;Bezterminowe;Boiron SA;NAR;
Sabal-Homaccord;Preparat homeopatyczny;-;krople doustne, roztwór;IL-3542/LN-H;2017-04-21;Biologische Heilmittel Heel GmbH;NAR;
Sabervel;Irbesartanum;75 mg;tabletki powlekane;;;Pharmaten S.A.;CEN;C09CA04
Sabervel;Irbesartanum;150 mg;tabletki powlekane;;;Pharmaten S.A.;CEN;C09CA04
Sabervel;Irbesartanum;300 mg;tabletki powlekane;;;Pharmaten S.A.;CEN;C09CA04
Sabina;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19316;Bezterminowe;Boiron SA;NAR;
Sabril;Vigabatrinum;500 mg;granulat do sporządzania roztworu doustnego;08327;Bezterminowe;Aventis Pharma Ltd.;NAR;N03AG04
Sabril;Vigabatrinum;500 mg;granulat do sporządzania roztworu doustnego;44/12;2017-02-01;Delfarma Sp. z o.o.;IR;N03AG04
Sabril;Vigabatrinum;500 mg;tabletki powlekane;03128;Bezterminowe;Sanofi-Aventis France;NAR;N03AG04
Sabril;Vigabatrinum;500 mg;tabletki powlekane;160/11;2016-05-18;Delfarma Sp. z o.o.;IR;N03AG04
Sabril;Vigabatrinum;500 mg;tabletki powlekane;189/11;2016-06-06;Blau Farma Group Sp. z o.o. - S.K.A.;IR;N03AG04
Sabril;Vigabatrinum;500 mg;tabletki powlekane;685/12;2017-11-12;Forfarm Sp. z o.o.;IR;N03AG04
Sabril;Vigabatrinum;500 mg;tabletki powlekane;93/06;2016-12-03;Delfarma Sp. z o.o.;IR;N03AG04
Sabril;Vigabatrinum;500 mg;tabletki powlekane;571/11;2016-11-21;InPharm Sp. z o.o.;IR;N03AG04
Sabumalin;Salbutamolum;100 mcg/dawkę;aerozol inhalacyjny, zawiesina;16434;Bezterminowe;Sandoz GmbH;DCP;R03AC02
Sachol żel stomatologiczny;Cholini salicylas +  Cetalkonii chloridum;(87,1 mg + 0,1 mg)/g;żel do stosowania w jamie ustnej;02302;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;A01AD
Sal Carolinum factitium effervescens;Preparat złożony;-;tabletki musujące;02096;Bezterminowe;Przedsiębiorstwo Farmaceutyczne Ziołolek Sp. z o.o.;NAR;A05AB
Sal Ems factitium;Preparat złożony;-;tabletki musujące;02025;Bezterminowe;Przedsiębiorstwo Farmaceutyczne Ziołolek Sp. z o.o.;NAR;
Sal Vichy factitium;Produkt złożony;-;tabletki musujące;01934;Bezterminowe;Przedsiębiorstwo Farmaceutyczne Ziołolek Sp. z o.o.;NAR;A02AX
Salazopyrin EN;Sulfasalazinum;500 mg;tabletki dojelitowe;08644;Bezterminowe;Pfizer Europe MA EEIG;NAR;A07EC01
Salazopyrin EN;Sulfasalazinum;500 mg;tabletki dojelitowe;139/09;2019-08-25;InPharm Sp. z o.o.;IR;A07EC01
Salazopyrin EN;Sulfasalazinum;500 mg;tabletki dojelitowe;111/11;2016-04-26;Delfarma Sp. z o.o.;IR;A07EC01
Salazopyrin EN;Sulfasalazinum;500 mg;tabletki dojelitowe;81/11;2016-04-19;Delfarma Sp. z o.o.;IR;A07EC01
Salazopyrin EN;Sulfasalazinum;500 mg;tabletki dojelitowe;602/11;2016-11-28;Tramco Sp. z o.o.;IR;A07EC01
Salazopyrin EN;Sulfasalazinum;500 mg;tabletki dojelitowe;275/12;2017-05-28;Forfarm Sp. z o.o.;IR;A07EC01
Salazopyrin EN;Sulfasalazinum;500 mg;tabletki dojelitowe;335/12;2017-06-24;Avrentim Sp. z o.o.;IR;A07EC01
Salazopyrin EN;Sulfasalazinum;500 mg;tabletki dojelitowe;164/13;2018-04-01;InPharm Sp. z o.o.;IR;A07EC01
Salbetan;Betamethasoni dipropionas + Acidum salicylicum;(0,64 mg + 20 mg)/g;roztwór na skórę;22910;2020-12-23;Sun-Farm Sp. z o.o.;DCP;D07XC01
Salbutamol Hasco;Salbutamolum;2 mg/5 ml;syrop;03175;Bezterminowe;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;R03CC02
Salbutamol WZF;Salbutamolum;0,5 mg/ml;roztwór do wstrzykiwań;00940;Bezterminowe;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;R03CC02
Salbutamol WZF;Salbutamolum;2 mg;tabletki;01303;Bezterminowe;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;R03CC02
Salbutamol WZF;Salbutamolum;4 mg;tabletki;02771;Bezterminowe;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;R03CC02
Saldiam;Diethylamini salicylas;100 mg/g;krem;00295;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;M02AC
Saldiam;Diethylamini salicylas;100 mg/g;żel;09213;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;M02AC
Salicortex;Salicis cortex;330 mg;tabletka;07174;Bezterminowe;Laboratorium Farmaceutyczne Labofarm Sp. z o.o. spółka komandytowa;NAR;
Salicylol;Acidum salicylicum + Ricini oleum;(50 mg + 950 mg)/g;płyn na skórę;02609;Bezterminowe;"Przedsiębiorstwo Produkcji Farmaceutyczno-Kosmetycznej ""PROFARM"" Sp. z o.o.";NAR;D02AF
Salicylol;Acidum salicylicum + Ricini oleum ;(50 mg + 887,5 mg)/g;żel;19665;2017-01-25;"Przedsiębiorstwo Produkcji Farmaceutyczno-Kosmetycznej ""PROFARM"" Sp. z o.o.";NAR;D02AF
Salmeson;Salmeterolum + Fluticasoni propionas;(50 mcg + 250 mcg)/dawkę;proszek do inhalacji, podzielony;21380;2018-08-08;Symphar Sp. z o.o.;DCP;R03AK06
Salmeson;Salmeterolum + Fluticasoni propionas;(50 mcg + 500 mcg)/dawkę;proszek do inhalacji, podzielony;21381;2018-08-08;Symphar Sp. z o.o.;DCP;R03AK06
Salmex;Fluticasoni propionas + Salmeterolum;(100 mcg + 50 mcg)/dawkę inh.;proszek do inhalacji;20806;Bezterminowe;Celon Pharma S.A.;NAR;R03AK06
Salmex;Fluticasoni propionas + Salmeterolum;(250 mcg + 50 mcg)/dawkę inh.;proszek do inhalacji;20807;Bezterminowe;Celon Pharma S.A.;NAR;R03AK06
Salmex;Fluticasoni propionas + Salmeterolum;(500 mcg + 50 mcg)/dawkę inh.;proszek do inhalacji;20808;Bezterminowe;Celon Pharma S.A.;NAR;R03AK06
Salofalk;Mesalazinum;1,5 g;granulat dojelitowy o przedłużonym uwalnianiu ;21830;Bezterminowe;Dr. Falk Pharma GmbH;MRP;A07EC02
Salofalk;Mesalazinum;3 g;granulat dojelitowy o przedłużonym uwalnianiu ;21831;Bezterminowe;Dr. Falk Pharma GmbH;MRP;A07EC02
Salofalk;Mesalazinum;500 mg;granulat dojelitowy o przedłużonym uwalnianiu ;21828;Bezterminowe;Dr. Falk Pharma GmbH;MRP;A07EC02
Salofalk;Mesalazinum;1000 mg;granulat dojelitowy o przedłużonym uwalnianiu ;21829;Bezterminowe;Dr. Falk Pharma GmbH;MRP;A07EC02
Salofalk;Mesalazinum;4 g/60 ml;zawiesina doodbytnicza;09701;Bezterminowe;Dr. Falk Pharma GmbH;NAR;A07EC02
Salofalk 1 g;Mesalazinum;1000 mg;czopki;17233;2015-08-25;Dr. Falk Pharma GmbH;DCP;A07EC02
Salofalk 250;Mesalazinum;250 mg;czopki;00888;Bezterminowe;Dr. Falk Pharma GmbH;NAR;A07EC02
Salofalk 250;Mesalazinum;250 mg;tabletki dojelitowe;04000;Bezterminowe;Dr. Falk Pharma GmbH;NAR;A07EC02
Salofalk 500;Mesalazinum;500 mg;czopki;04222;Bezterminowe;Dr. Falk Pharma GmbH;NAR;A07EC02
Salofalk 500;Mesalazinum;500 mg;tabletki dojelitowe;04001;Bezterminowe;Dr. Falk Pharma GmbH;NAR;A07EC02
Salonpas;Methylis salicylas + Levomentholum;105 mg + 31,5 mg;plaster leczniczy;22289;2020-02-17;Hisamitsu UK Limited;MRP;M02AC
Salson;Gliclazidum;60 mg;tabletki o zmodyfikowanym uwalnianiu;23060;2021-03-21;Sandoz GmbH;DCP;A10BB09
Salviasept;Preparat ziołowy;-;koncentrat do sporządzania roztworu do płukania gardła;07098;Bezterminowe;Herbapol - Lublin S.A.;NAR;
Sambucus Nigra;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19321;Bezterminowe;Boiron SA;NAR;
Samsca;Tolvaptanum;15 mg;tabletki;;;Otsuka Pharmaceutical Europe Ltd.;CEN;C03XA01
Samsca;Tolvaptanum;30 mg;tabletki;;;Otsuka Pharmaceutical Europe Ltd.;CEN;C03XA01
Sancuso;Granisetronum;3,1 mg/24 h;system transdermalny, plaster;;;Kyowa Kirin Limited;CEN;A04AA02
Sandimmun;Ciclosporinum;50 mg/ml;koncentrat do sporządzania roztworu do infuzji;01198;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;L04AD01
Sandimmun Neoral;Ciclosporinum;25 mg;kapsułki miękkie;03366;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;L04AD01
Sandimmun Neoral;Ciclosporinum;100 mg;kapsułki miękkie;03368;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;L04AD01
Sandimmun Neoral;Ciclosporinum;10 mg;kapsułki miękkie;04061;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;L04AD01
Sandimmun Neoral;Ciclosporinum;50 mg;kapsułki miękkie;03367;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;L04AD01
Sandimmun Neoral;Ciclosporinum;100 mg/ml;roztwór doustny;03369;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;L04AD01
Sandoglobulin P;Immunoglobulinum humanum normale ad usum intravenosum;3 g;proszek do sporządzania roztworu do infuzji;03543;2015-05-27;Imed Poland Sp. z o.o.;NAR;J06BA02
Sandoglobulin P;Immunoglobulinum humanum normale ad usum intravenosum;6 g;proszek do sporządzania roztworu do infuzji;03544;Bezterminowe;Imed Poland Sp. z o.o.;NAR;J06BA02
Sandostatin;Octreotidum;50 mcg/ml;roztwór do wstrzykiwań/do infuzji ;00427;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;H01CB02
Sandostatin;Octreotidum;100 mcg/ml;roztwór do wstrzykiwań/do infuzji ;00429;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;H01CB02
Sandostatin LAR;Octreotidum;30 mg;proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań;04595;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;H01CB02
Sandostatin LAR;Octreotidum;20 mg;proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań;04596;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;H01CB02
Sandostatin LAR;Octreotidum;10 mg;proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań;04597;Bezterminowe;Novartis Poland Sp. z o.o.;NAR;H01CB02
Sanguinaria Canadensis;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19273;Bezterminowe;Boiron SA;NAR;
Sankombi D5;Preparat homeopatyczny;-;krople doustne, roztwór, płyn na skórę;IL-4371/LNH;Bezterminowe;Sanum-Kehlbeck GmbH & Co. KG;NAR;
Sanosvit Calcium;Calcii glubionas + Calcii lactobionas;114 mg Ca2+/5 ml;syrop;02516;Bezterminowe;Takeda Pharma Sp. z o.o.;NAR;A12AA20
Santaherba;Preparat homeopatyczny;-;krople doustne, roztwór;IL-4184/LNH;Bezterminowe;Laboratoires Lehning;NAR;
Sanukehl Staph D6;Preparat homeopatyczny;-;krople doustne, roztwór, płyn na skórę;IL-4369/LN-H;Bezterminowe;Sanum-Kehlbeck GmbH & Co. KG;NAR;
Sanuvis;Preparat homeopatyczny;-;krople doustne, roztwór;IL-4373/LNH;Bezterminowe;Sanum-Kehlbeck GmbH & Co. KG;NAR;
Sanval;Zolpidemi tartras;10 mg;tabletki powlekane;04944;Bezterminowe;Sandoz GmbH;NAR;N05CF02
Sanval;Zolpidemi tartras;10 mg;tabletki powlekane;724/15;2020-10-29;IVA PHARM Sp. z o.o.;IR;N05CF02
Sanval;Zolpidemi tartras;10 mg;tabletki powlekane;647/15;2020-09-27;Forfarm Sp. z o.o.;IR;N05CF02
Sanval;Zolpidemi tartras;10 mg;tabletki powlekane;123/15;2020-03-16;Delfarma Sp. z o.o.;IR;N05CF02
Sanval;Zolpidemi tartras;10 mg;tabletki powlekane;478/15;2020-07-20;Pretium Farm Sp. z o.o.;IR;N05CF02
Sanval;Zolpidemi tartras;10 mg;tabletki powlekane;659/15;2020-09-30;Forfarm Sp. z o.o.;IR;N05CF02
Sanval;Zolpidemi tartras;10 mg;tabletki powlekane;769/15;2020-11-15;InPharm Sp. z o.o.;IR;N05CF02
Sanval;Zolpidemi tartras;10 mg;tabletki powlekane;273/16;2021-05-15;Delfarma Sp. z o.o.;IR;N05CF02
Sapoven;Hippocastani seminis extractum;10 mg glikozydów trójterpenowych w przeliczeniu na escynę/g;maść;16581;Bezterminowe;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;C05CX03
Sapoven T;Troxerutinum + Hippocastani seminis extractum siccum;200 mg + 105,3 mg;kapsułka miękka;08562;Bezterminowe;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;C05CA54
Sapoven T;Troxerutinum + Hippocastani seminis extractum siccum;(20 mg + 100 mg)/g;żel;09747;Bezterminowe;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;C05CA54
Saquinavir Sandoz;Saquinavirum;500 mg;tabletki powlekane;22605;2017-03-06;Sandoz GmbH;DCP;J05AE01
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;00956;Bezterminowe;Bayer Sp. z o.o.;NAR;N02BE51
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;232/14;2019-07-13;Forfarm Sp. z o.o.;IR;N02BE51
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;251/14;2019-07-29;Forfarm Sp. z o.o.;IR;N02BE51
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;149/15;2020-03-29;Delfarma Sp. z o.o.;IR;N02BE51
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;188/15;2020-04-16;Delfarma Sp. z o.o.;IR;N02BE51
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;334/15;2020-06-15;InPharm Sp. z o.o.;IR;N02BE51
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;328/15;2020-06-14;Pretium Farm Sp. z o.o.;IR;N02BE51
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;471/15;2020-07-19;InPharm Sp. z o.o.;IR;N02BE51
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;392/16;2021-09-01;PharmaVitae Sp. z o.o. sp. k.;IR;N02BE51
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;49/17;2022-02-15;Pretium Farm Sp. z o.o.;IR;N02BE51
Saridon;Paracetamolum + Propyphenazonum + Coffeinum;250 mg + 150 mg + 50 mg;tabletki;399/17;2022-12-06;ModumPharma Sp. z o.o.;IR;N02BE51
Sarovex;Clopidogrelum;75 mg;tabletki powlekane;17528;2015-12-01;Tabuk Poland Sp. z o.o.;DCP;B01AC04
Sarpin;Amlodipinum + Valsartanum;10 mg + 160 mg;tabletki powlekane;23430;2021-09-22;Vitama S.A.;DCP;C09DB01
Sarsaparilla;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19364;Bezterminowe;Boiron SA;NAR;
Sartesta;Amlodipinum + Valsartanum;5 mg + 80 mg;tabletki powlekane;24313;2022-10-09;Zakłady Farmaceutyczne POLPHARMA S.A.;DCP;C09DB01
Sartesta;Amlodipinum + Valsartanum;5 mg + 160 mg;tabletki powlekane;24314;2022-10-09;Zakłady Farmaceutyczne POLPHARMA S.A.;DCP;C09DB01
Sartesta;Amlodipinum + Valsartanum;10 mg + 160 mg;tabletki powlekane;24315;2022-10-09;Zakłady Farmaceutyczne POLPHARMA S.A.;DCP;C09DB01
Sarve 50 mg;Losartanum kalicum;50 mg;tabletki powlekane;12802;Bezterminowe;Recordati Polska sp. z o.o.;MRP;C09CA01
Sastium;Sertralinum;50 mg;tabletki powlekane;23244;2021-06-03;Accord Healthcare Limited;DCP;N06AB06
Sastium;Sertralinum;100 mg;tabletki powlekane;23245;2021-06-03;Accord Healthcare Limited;DCP;N06AB06
Sativex;Delta-9-tetrahydrocannabinolum + Cannabidiolum;(27 mg + 25 mg)/ml;aerozol do stosowania w jamie ustnej;20802;2017-12-11;GW Pharma Ltd;MRP;N02BG10
Savandra;Escitalopramum;5 mg;tabletki powlekane;21576;2016-03-04;BGP Products Poland Sp. z o.o.;DCP;N06AB10
Savandra;Escitalopramum;10 mg;tabletki powlekane;21577;2016-03-04;BGP Products Poland Sp. z o.o.;DCP;N06AB10
Savandra;Escitalopramum;15 mg;tabletki powlekane;21578;2016-03-04;BGP Products Poland Sp. z o.o.;DCP;N06AB10
Savandra;Escitalopramum;20 mg;tabletki powlekane;21579;2016-03-04;BGP Products Poland Sp. z o.o.;DCP;N06AB10
Savarix;Heparinum natricum + Benzocainum + Intractum hippocastani;(500 j.m. + 10 mg + 50 mg)/g;żel;08158;Bezterminowe;"Grzegorz Nowakowski Przedsiębiorstwo Produkcji Farmaceutycznej ""GEMI""";NAR;
Savene;Dexrazoxanum;20 mg/ml;proszek do sporządzania koncentratu i rozcieńczalnik do sporządzania roztworu do infuzji;;;Clinigen Healthcare Limited;CEN;V03AF02
Saxenda;Liraglutidum;6 mg/ml;roztwór do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10BX07
Saxotin;Vildagliptinum;50 mg;tabletki;24277;2022-09-15;Sandoz GmbH;DCP;A10BH02
Scaliant;Bisoprololi fumaras + Perindoprilum argininum;5 mg + 5 mg;tabletki powlekane;23031;2021-03-01;Proterapia Sp. z o.o.;DCP;C09BX02
Scaliant;Bisoprololi fumaras + Perindoprilum argininum;5 mg + 10 mg;tabletki powlekane;23032;2021-03-01;PROTERAPIA Sp. z o.o.;DCP;C09BX02
Scaliant;Bisoprololi fumaras + Perindoprilum argininum;10 mg + 5 mg;tabletki powlekane;23033;2021-03-01;PROTERAPIA Sp. z o.o.;DCP;C09BX02
Scaliant;Bisoprololi fumaras + Perindoprilum argininum;10 mg + 10 mg;tabletki powlekane;23034;2021-03-01;PROTERAPIA Sp. z o.o.;DCP;C09BX02
Scandonest 30 mg/ml;Mepivacaini hydrochloridum;30 mg/ml;roztwór do wstrzykiwań;03031;Bezterminowe;Septodont;NAR;N01BB03
Scenesse;Afamelanotidum;16 mg;implant;;;Clinuvel (UK) Limited;CEN;D02BB02
Schwef-Heel;Preparat homeopatyczny;-;krople doustne, roztwór;IL-3543/LN-H;2017-05-02;Biologische Heilmittel Heel GmbH;NAR;
Scintimun;Besilesomabum;1 mg;zestaw do sporządzania preparatu radiofarmaceutycznego;;;CIS bio international;CEN;V09HA03
Scopolan;Hyoscini butylbromidum;10 mg;czopki;03363;Bezterminowe;"Wrocławskie Zakłady Zielarskie ""Herbapol"" S.A.";NAR;A03BB01
Scopolan;Hyoscini butylbromidum;10 mg;tabletka drażowana;03617;Bezterminowe;"Wrocławskie Zakłady Zielarskie ""Herbapol"" S.A.";NAR;A03BB01
Scopolan compositum;Hyoscini butylbromidum + Metamizolum natricum;10 mg + 250 mg;tabletki drażowane;03080;Bezterminowe;"Wrocławskie Zakłady Zielarskie ""Herbapol"" S.A.";NAR;A03DB04
Scorbolamid;Acidum ascorbicum + Rutosidum + Salicylamidum;100 mg + 5 mg + 300 mg;tabletki drażowane;00340;Bezterminowe;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;N02BA55
Scorbolamid EXTRA;Salicylamidum + Acidum ascorbicum + Rutosidum + Zincum ;300 mg + 200 mg + 50 mg + 5 mg;tabletki powlekane;23492;2021-10-16;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;N02BA55
Scorbolamid EXTRA Hot;Salicylamidum + Acidum ascorbicum + Rutosidum + Zincum ;300 mg + 300 mg + 50 mg + 5 mg;granulat do sporządzania zawiesiny doustnej;23493;2021-10-16;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;N02BA55
Seasonique;Levonorgestrelum + Ethinylestradiolum;"150 mcg + 30 mcg (tabl. różowa); 10 mcg (tabl. biała)";tabletki powlekane;22353;2020-03-25;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;G03AA07
Sebidin;Acidum ascorbicum + Chlorhexidini dihydrochloridum;50 mg + 5 mg;tabletki do ssania;01435;Bezterminowe;Omega Pharma Poland Sp. z o.o.;NAR;R02AA05
Sebidin Plus;Acidum ascorbicum + Chlorhexidini dihydrochloridum;75 mg + 5 mg;tabletki do ssania;09373;Bezterminowe;Omega Pharma Poland Sp. z o.o.;NAR;R02AA05
Sebivo;Telbivudinum;20 mg/ml;roztwór doustny;;;Novartis Europharm Limited;CEN;J05AF11
Sebivo;Telbivudinum;600 mg;tabletki powlekane;;;Novartis Europharm Limited;CEN;J05AF11
Secale Cornutum;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19158;Bezterminowe;Boiron SA;NAR;
Sectral 200;Acebutololum;200 mg;tabletki powlekane;01099;Bezterminowe;Gedeon Richter Polska Sp. z o.o.;NAR;C07AB04
Sectral 400;Acebutololum;400 mg;tabletki powlekane;01100;Bezterminowe;Gedeon Richter Polska Sp. z o.o.;NAR;C07AB04
Seculact;Desogestrelum;0,075 mg;tabletki powlekane;22642;2020-08-13;Zentiva, k.s.;DCP;G03AC09
Sedalia;Homeopatyczny produkt leczniczy;-;syrop;IL-6201/LN-H;Bezterminowe;Boiron SA;NAR;
Sedam 3;Bromazepamum;3 mg;tabletki;08777;Bezterminowe;Sandoz GmbH;NAR;N05BA08
Sedam 3;Bromazepamum;3 mg;tabletki;237/17;2022-08-02;Delfarma Sp. z o.o.;IR;N05BA08
Sedam 3;Bromazepamum;3 mg;tabletki;10/18;2023-01-11;Forfarm Sp. z o.o.;IR;N05BA08
Sedam 3;Bromazepam;3 mg;tabletki;38/18;2023-01-25;InPharm Sp. z o.o.;IR;N05BA08
Sedam 6;Bromazepamum;6 mg;tabletki;08778;Bezterminowe;Sandoz GmbH;NAR;N05BA08
Sedam 6;Bromazepamum;6 mg;tabletki;236/17;2022-08-02;Delfarma Sp. z o.o.;IR;N05BA08
Sedam 6;Bromazepamum;6 mg;tabletki;11/18;2023-01-11;Forfarm Sp. z o.o.;IR;N05BA08
